title,price,description,image
Nosak Famili Vegetable Oil 2.5L -×6(in a cartoon),"₦44,000.00₦49,500.00",Nosak Famili Vegetable Oil is 100% pure vegetable oil is a healthy alternative to adulterated oil. It has no additives and is cholesterol free. It’s hard to find unadulterated oil these days.,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20220%20220'%3E%3C/svg%3E"
Nosak Famili Quality Palm Oil 2.5L -×6 (in a cartoon) cartoon),"₦38,500.00₦49,500.00","Nosak Famili Palm Oil is your perfect choice for healthy cooking. It does not have any pungent smell, doesn’t stick to the tongue as noticed with adulterated oil and also gives your food an amazing flavor.
READ MORE","data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20220%20220'%3E%3C/svg%3E"
Nosak Famili Vegetable Oil 2.5l,"₦10,450.00","Nosak Famili Vegetable Oil is a natural source of ‘phytochemicals’, which are antioxidants that protect your body against damage from toxins and free radicals.","data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20220%20220'%3E%3C/svg%3E"
wellsley canola oil 4.75L,"₦23,650.00","Canola oil is widely used in the food industry for baking, frying, sautéing, in salad dressings and more. The oil can also be used as an ingredient in lubricants, candles, cosmetics and inks.","data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20220%20220'%3E%3C/svg%3E"
Green Giant Sweet Corn 340g,"₦1,270.50","Green Giant sweetcorn provides you with 1 of your 5 a day.Green Giant sweetcorn is corn on the cob put in a tin in less than 8 hours.Green Giant sweetcorn is made out of 100% natural ingredients.
Green giant swetcorn is made out of 100% natural ingredients. 80g of drained sweet corn = one of your five recommended daily servings of fruit & veg.","data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20220%20220'%3E%3C/svg%3E"
Crown Premium Pasta Carton (500g x20),"₦14,850.00","Crown Premium Pasta is a high-quality product (made from high protein Durum Wheat) and contains Vitamins and Micronutrients. It’s of premium quality, non-sticky, delightful taste, goes perfectly well as plain with any type of sauce as well as Jollof.
Contains
20 PCS of 500g pasta","data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20220%20220'%3E%3C/svg%3E"
Royal Amoy White Vinegar 750ml,"₦1,386.00",,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20194%20220'%3E%3C/svg%3E"
Heinz Apple Distilled White Vinegar 946ml,"₦4,389.00",,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20202%20220'%3E%3C/svg%3E"
Heinz Apple Cidar Vinegar 946ml,"₦4,851.00",,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20220%20220'%3E%3C/svg%3E"
Laser Olive Oil Pomace 1L,"₦13,860.00",,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20220%20220'%3E%3C/svg%3E"
Dangote Refined Granulated Sugar 250g,₦495.00,,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20220%20220'%3E%3C/svg%3E"
Dante Extra Virgin Olive Oil 1L,"₦12,127.50",,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20220%20220'%3E%3C/svg%3E"
Nasco Cornflakes Original 500g,"₦3,060.75",,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20220%20220'%3E%3C/svg%3E"
